epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8346,3.27005,6.36083,4.24292,2.63047,0.05378,0.04161,0.01702,0.00625,0.0416,0.03596,0.0144,0.00497,3.02606,4.11618,3.88846,2.3362,0.000331096,0.000331096,0.000331096
2,69.277,2.44618,3.75506,3.29465,1.90518,0.21651,0.26837,0.14399,0.07175,0.20395,0.24519,0.12731,0.04988,1.92812,3.644,2.67406,1.60483,0.000657852,0.000657852,0.000657852
3,103.901,2.02476,3.64229,2.76525,1.61855,0.29006,0.33911,0.23512,0.13471,0.2804,0.3185,0.2205,0.09739,1.74739,3.53421,2.33309,1.45846,0.000978007,0.000978007,0.000978007
4,138.301,1.81105,3.55086,2.46653,1.49047,0.34294,0.35899,0.28772,0.1795,0.34057,0.34186,0.27229,0.12759,1.53027,3.56343,2.0329,1.29856,0.0009703,0.0009703,0.0009703
5,174.575,1.71713,3.50905,2.28302,1.41499,0.38565,0.44707,0.34816,0.21791,0.37992,0.41646,0.32863,0.15095,1.4115,3.44367,1.84668,1.23499,0.0009604,0.0009604,0.0009604
6,207.674,1.62564,3.45948,2.1477,1.36902,0.41285,0.44121,0.38112,0.25305,0.40877,0.42194,0.36177,0.17404,1.33092,3.43266,1.83544,1.18248,0.0009505,0.0009505,0.0009505
7,241.757,1.58288,3.37732,2.03874,1.34016,0.47348,0.432,0.39661,0.27824,0.46595,0.41243,0.37322,0.18246,1.26188,3.72118,1.65491,1.14495,0.0009406,0.0009406,0.0009406
8,284.692,1.53552,3.34142,1.94852,1.30836,0.56139,0.5029,0.48835,0.33409,0.54179,0.48223,0.45783,0.225,1.23023,3.50766,1.49287,1.1495,0.0009307,0.0009307,0.0009307
9,322.693,1.47643,3.26949,1.82122,1.27688,0.58604,0.48293,0.50474,0.35779,0.56454,0.4703,0.47843,0.23788,1.18074,3.33297,1.45471,1.11713,0.0009208,0.0009208,0.0009208
10,362.998,1.46385,3.26114,1.80108,1.26766,0.50601,0.48158,0.45185,0.3168,0.48558,0.47143,0.42568,0.20159,1.25111,3.56685,1.61422,1.14489,0.0009109,0.0009109,0.0009109
11,410.883,1.43459,3.20696,1.73294,1.25394,0.56929,0.499,0.53167,0.37386,0.55484,0.4853,0.50639,0.24486,1.21695,3.44451,1.45924,1.12792,0.000901,0.000901,0.000901
12,449.493,1.42481,3.16123,1.67926,1.24786,0.63446,0.51988,0.58767,0.40326,0.61041,0.49728,0.55407,0.26226,1.20121,3.65347,1.352,1.12199,0.0008911,0.0008911,0.0008911
13,486.578,1.41411,3.15149,1.6389,1.24217,0.66574,0.52523,0.58476,0.41199,0.65568,0.50353,0.55121,0.27361,1.16708,3.45593,1.24733,1.10628,0.0008812,0.0008812,0.0008812
14,522.57,1.37898,3.10482,1.58075,1.22461,0.67573,0.53309,0.61803,0.4455,0.6849,0.50722,0.58837,0.29292,1.11486,3.37819,1.22354,1.06908,0.0008713,0.0008713,0.0008713
15,558.882,1.36242,3.07029,1.54836,1.21274,0.59439,0.56747,0.57364,0.41064,0.58935,0.53954,0.53971,0.26366,1.08119,3.52774,1.22492,1.06046,0.0008614,0.0008614,0.0008614
16,595.1,1.34444,3.04682,1.53311,1.20348,0.70163,0.52728,0.62197,0.4575,0.68582,0.50483,0.58641,0.29364,1.05376,3.61758,1.13251,1.05035,0.0008515,0.0008515,0.0008515
17,631.946,1.31068,3.0087,1.47464,1.18933,0.686,0.5832,0.64662,0.47309,0.66422,0.56364,0.61768,0.30484,1.07911,3.42976,1.10719,1.07067,0.0008416,0.0008416,0.0008416
18,669.613,1.32987,3.01692,1.46071,1.19222,0.66652,0.58075,0.62981,0.44705,0.65704,0.55669,0.60273,0.30185,1.10773,3.58723,1.11517,1.06688,0.0008317,0.0008317,0.0008317
19,706.507,1.31915,2.98745,1.44684,1.18225,0.62727,0.57619,0.60156,0.4343,0.60934,0.55547,0.56742,0.27905,1.05826,3.39924,1.16478,1.04009,0.0008218,0.0008218,0.0008218
20,743.486,1.29331,2.96006,1.40878,1.17487,0.72905,0.61825,0.68612,0.50164,0.72591,0.58422,0.64761,0.31573,1.00956,3.65673,1.00894,1.03044,0.0008119,0.0008119,0.0008119
21,780.057,1.30993,2.94891,1.41156,1.1777,0.63984,0.58789,0.63799,0.4621,0.6224,0.57321,0.60649,0.29137,1.01594,3.65558,1.15522,1.02859,0.000802,0.000802,0.000802
22,817.33,1.2815,2.9124,1.37008,1.16745,0.68213,0.60602,0.66169,0.48179,0.65501,0.57275,0.6262,0.30179,1.00466,3.46589,1.07629,1.02781,0.0007921,0.0007921,0.0007921
23,854.128,1.27112,2.90438,1.35927,1.1599,0.61736,0.50517,0.59379,0.43125,0.6128,0.48749,0.56063,0.27017,1.03289,3.53194,1.3439,1.03539,0.0007822,0.0007822,0.0007822
