epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3917,1.46494,3.36292,2.84461,1.28656,0.35642,0.45906,0.33358,0.23644,0.34534,0.44327,0.31761,0.15811,1.08556,3.12214,1.93045,1.01585,0.000330579,0.000330579,0.000330579
2,54.9002,1.27253,2.75448,1.71531,1.15501,0.50252,0.53763,0.49516,0.33752,0.50783,0.48906,0.46545,0.21554,1.1294,3.12623,1.46012,1.05001,0.000657339,0.000657339,0.000657339
3,81.5571,1.20836,2.65938,1.52353,1.12452,0.6046,0.52843,0.56828,0.43267,0.58876,0.51005,0.53202,0.25324,0.92696,3.46777,1.20763,0.96532,0.0009775,0.0009775,0.0009775
4,108.011,1.1782,2.60061,1.39989,1.10587,0.66841,0.6375,0.67136,0.49852,0.66684,0.60148,0.64241,0.32291,0.90663,3.39073,1.02954,0.95713,0.0009703,0.0009703,0.0009703
5,139.517,1.14627,2.50066,1.32091,1.09521,0.6602,0.61062,0.65715,0.49786,0.64654,0.59497,0.62651,0.29611,0.84733,3.37624,1.08795,0.9381,0.0009604,0.0009604,0.0009604
6,173.129,1.0972,2.44749,1.24367,1.07626,0.62115,0.65347,0.64018,0.49122,0.60624,0.63683,0.6129,0.29877,0.80899,3.28818,0.93414,0.93982,0.0009505,0.0009505,0.0009505
7,208.157,1.09154,2.43792,1.2258,1.06895,0.63946,0.67749,0.68607,0.52453,0.61836,0.65528,0.65024,0.30938,0.85395,3.39687,0.91446,0.94064,0.0009406,0.0009406,0.0009406
8,243.814,1.06233,2.37802,1.15925,1.05939,0.75537,0.69545,0.75801,0.58165,0.74618,0.65526,0.72291,0.35529,0.82295,3.50203,0.82369,0.93838,0.0009307,0.0009307,0.0009307
9,280.335,1.04877,2.36074,1.11528,1.0523,0.70059,0.62642,0.70366,0.55243,0.69437,0.59801,0.66651,0.33459,0.8279,3.68895,0.90548,0.93928,0.0009208,0.0009208,0.0009208
10,318.899,1.04242,2.3509,1.09106,1.04823,0.74411,0.67344,0.74115,0.58459,0.72977,0.64353,0.69782,0.34233,0.78673,3.52807,0.836,0.93255,0.0009109,0.0009109,0.0009109
11,356.374,1.0088,2.27267,1.04482,1.03963,0.71529,0.70293,0.75714,0.58688,0.70683,0.67056,0.71594,0.35458,0.80258,3.37003,0.81708,0.93458,0.000901,0.000901,0.000901
12,394.84,1.01485,2.30248,1.05909,1.04077,0.74647,0.6944,0.75619,0.58826,0.73675,0.66245,0.71386,0.3511,0.84443,3.39471,0.75428,0.94115,0.0008911,0.0008911,0.0008911
13,433.63,1.00628,2.26568,1.01661,1.033,0.77545,0.71695,0.78582,0.62107,0.76779,0.69578,0.7627,0.38411,0.7842,3.73814,0.7536,0.92564,0.0008812,0.0008812,0.0008812
14,472.771,1.00389,2.25778,1.0094,1.03574,0.74577,0.69259,0.76146,0.60112,0.72355,0.6734,0.73076,0.36923,0.78843,3.67188,0.76058,0.93102,0.0008713,0.0008713,0.0008713
15,512.004,0.98609,2.25167,0.97825,1.02847,0.78066,0.68439,0.77996,0.62835,0.77253,0.66007,0.74139,0.37538,0.76447,3.80543,0.71882,0.92536,0.0008614,0.0008614,0.0008614
16,539.205,0.985,2.20974,0.96189,1.02413,0.75061,0.73757,0.78649,0.62626,0.73769,0.71057,0.7441,0.36722,0.74861,3.53997,0.7538,0.92003,0.0008515,0.0008515,0.0008515
