epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1065.85,0.92235,2.08284,0.86241,1.00014,0.77945,0.71653,0.79308,0.64158,0.77426,0.69197,0.76305,0.37515,0.75734,4.13875,0.68172,0.91564,0.0007129,0.0007129,0.0007129
31,1101.77,0.92242,2.09255,0.85989,0.99882,0.74829,0.75832,0.80444,0.65591,0.74315,0.72448,0.76569,0.37436,0.75941,4.27086,0.66763,0.91797,0.000703,0.000703,0.000703
32,1137.75,0.92062,2.06021,0.85241,0.99651,0.77176,0.73685,0.80828,0.65397,0.76025,0.71424,0.77363,0.38598,0.7506,4.07217,0.65863,0.91185,0.0006931,0.0006931,0.0006931
33,1173.6,0.91564,2.06586,0.8465,0.99621,0.75746,0.72813,0.79582,0.64717,0.74322,0.71185,0.76492,0.38233,0.7558,4.09522,0.69036,0.91816,0.0006832,0.0006832,0.0006832
34,1209.22,0.91693,2.06707,0.83625,0.99795,0.7993,0.71171,0.80439,0.65544,0.78032,0.69456,0.77027,0.38622,0.7555,4.04158,0.66564,0.91586,0.0006733,0.0006733,0.0006733
35,1244.75,0.9055,2.04608,0.82981,0.99298,0.792,0.68065,0.79303,0.64336,0.77659,0.66051,0.75913,0.38281,0.7542,4.34299,0.6944,0.91601,0.0006634,0.0006634,0.0006634
36,1280.86,0.90985,2.02502,0.8331,0.98726,0.76493,0.75512,0.81106,0.65156,0.74648,0.73632,0.7791,0.38243,0.75594,4.23991,0.66388,0.91468,0.0006535,0.0006535,0.0006535
37,1317.79,0.91641,2.05771,0.83618,0.99599,0.78871,0.73202,0.82259,0.67291,0.79831,0.70437,0.78686,0.40125,0.74603,4.11901,0.66382,0.91418,0.0006436,0.0006436,0.0006436
38,1353.85,0.89553,2.02629,0.81476,0.9904,0.76869,0.74667,0.8078,0.6591,0.74995,0.7102,0.76115,0.37588,0.75107,4.03344,0.66257,0.91575,0.0006337,0.0006337,0.0006337
39,1389.18,0.89002,2.00338,0.7979,0.98892,0.77997,0.7287,0.80409,0.65126,0.76254,0.70947,0.77147,0.38411,0.74635,4.20743,0.66958,0.91431,0.0006238,0.0006238,0.0006238
40,1425.48,0.89475,2.03779,0.79764,0.986,0.78644,0.7564,0.8173,0.66917,0.76703,0.73571,0.78593,0.39159,0.73138,4.13068,0.64411,0.90996,0.0006139,0.0006139,0.0006139
41,1462.17,0.89429,1.99723,0.80026,0.98507,0.79135,0.71796,0.80688,0.65781,0.77737,0.69394,0.77342,0.38092,0.7272,4.07586,0.6564,0.90676,0.000604,0.000604,0.000604
42,1498.95,0.88797,1.99356,0.78742,0.98232,0.77869,0.7562,0.82205,0.67198,0.76063,0.73719,0.78628,0.39332,0.7296,4.32337,0.64583,0.91038,0.0005941,0.0005941,0.0005941
43,1535.46,0.90166,1.99494,0.79432,0.98794,0.74689,0.74644,0.82381,0.67441,0.7252,0.72679,0.78813,0.39157,0.73808,4.21913,0.64416,0.91062,0.0005842,0.0005842,0.0005842
44,1571.12,0.88951,1.99443,0.77399,0.98136,0.75976,0.75463,0.81539,0.65744,0.73704,0.728,0.78182,0.39096,0.75382,4.3319,0.66318,0.91424,0.0005743,0.0005743,0.0005743
45,1607.04,0.87991,1.97247,0.77471,0.98272,0.74883,0.76999,0.80976,0.65828,0.78083,0.68605,0.77213,0.38622,0.72872,4.45045,0.66077,0.90591,0.0005644,0.0005644,0.0005644
